SEASON YEAR,WEEK,TEST ID,BLOCK,TRAP,TRAP_TYPE,TEST DATE,NUMBER OF MOSQUITOES,RESULT,SPECIES,LATITUDE,LONGITUDE,LOCATION
2011,38,32794,35XX W 116TH ST,T158,GRAVID,09/23/2011 12:09:00 AM,1,negative,CULEX RESTUANS,41.682180403,-87.710091651,"(41.6821804028987, -87.71009165099498)"
2013,33,36960,21XX N CANNON DR,T054C,GRAVID,08/15/2013 12:08:00 AM,45,positive,CULEX PIPIENS,41.921776903,-87.632140452,"(41.921776903428494, -87.63214045192028)"
2012,37,35172,71XX S SOUTH SHORE DR,T079,GRAVID,09/13/2012 12:09:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.765752525,-87.562465208,"(41.76575252485466, -87.56246520793836)"
2009,31,27694,100XX W OHARE,T909,CDC,08/07/2009 12:08:00 AM,37,negative,CULEX PIPIENS/RESTUANS,,,
2013,25,35784,77XX S EBERHART AVE,T080,GRAVID,06/21/2013 12:06:00 AM,6,negative,CULEX RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2013,31,36729,100XX W OHARE AIRPORT,T902,GRAVID,08/01/2013 12:08:00 AM,50,positive,CULEX PIPIENS/RESTUANS,,,
2007,32,22090,50XX S UNION AVE,T082,GRAVID,08/15/2007 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.802359309,-87.643075919,"(41.802359308973436, -87.64307591923095)"
2009,28,27098,3XX W 18TH ST,T043,GRAVID,07/17/2009 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.857837294,-87.635861986,"(41.857837293807705, -87.63586198559554)"
2014,24,38028,91XX W HIGGINS RD,T009,GRAVID,06/12/2014 12:06:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.988586396,-87.854473351,"(41.988586396324166, -87.85447335120561)"
2011,32,32086,101XX S STONY ISLAND AVE,T138,GRAVID,08/12/2011 12:08:00 AM,1,negative,CULEX TERRITANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2011,30,31735,58XX N PULASKI RD,T027,GRAVID,07/29/2011 12:07:00 AM,4,negative,CULEX PIPIENS,41.986319851,-87.728378456,"(41.986319851449004, -87.72837845617912)"
2015,24,40799,17XX W ADDISON ST,T224,GRAVID,06/18/2015 12:06:00 AM,2,negative,CULEX RESTUANS,41.947044495,-87.673061053,"(41.94704449504484, -87.67306105349785)"
2008,33,25406,100XX W OHARE AIRPORT,T913,GRAVID,08/19/2008 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2014,23,37906,51XX N MONT CLARE AVE,T223,GRAVID,06/05/2014 12:06:00 AM,31,negative,CULEX RESTUANS,41.974522761,-87.80458947,"(41.974522761157274, -87.80458946950488)"
2010,25,28628,63XX W 64TH ST,T155,GRAVID,06/25/2010 12:06:00 AM,1,negative,CULEX RESTUANS,41.776005392,-87.779407668,"(41.77600539167921, -87.77940766760916)"
2015,32,41758,109XX S COTTAGE GROVE AVE,T102,GRAVID,08/13/2015 12:08:00 AM,2,negative,CULEX RESTUANS,41.69549407,-87.609081766,"(41.695494070048184, -87.60908176561364)"
2009,36,28077,3XX W 104TH ST,T095,GRAVID,09/14/2009 12:09:00 AM,1,negative,CULEX PIPIENS,41.705327644,-87.632955365,"(41.70532764418326, -87.63295536539816)"
2012,29,33774,5XX S CENTRAL AVE,T031,GRAVID,07/20/2012 12:07:00 AM,9,negative,CULEX RESTUANS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2011,34,32279,17XX N ASHLAND AVE,T232,GRAVID,08/26/2011 12:08:00 AM,2,negative,CULEX RESTUANS,41.913051863,-87.667905236,"(41.913051862687965, -87.66790523595525)"
2013,32,36893,46XX N MILWAUKEE AVE,T003,GRAVID,08/08/2013 12:08:00 AM,28,positive,CULEX PIPIENS/RESTUANS,41.965374859,-87.758411715,"(41.96537485879688, -87.75841171521544)"
2012,34,34861,100XX W OHARE AIRPORT,T906,GRAVID,08/24/2012 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,,,
2013,33,37003,58XX N WESTERN AVE,T028,GRAVID,08/15/2013 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2014,25,38157,82XX S KOSTNER AVE,T225,GRAVID,06/19/2014 12:06:00 AM,11,negative,CULEX RESTUANS,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)"
2012,38,35255,51XX W 63RD PL,T065A,GRAVID,09/20/2012 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.777343144,-87.749665532,"(41.77734314354912, -87.74966553150517)"
2011,30,31808,100XX W OHARE AIRPORT,T912,GRAVID,07/29/2011 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,,,
2007,31,21698,73XX S CICERO AVE,T067,GRAVID,08/07/2007 12:08:00 AM,2,negative,CULEX PIPIENS,41.760082353,-87.741607161,"(41.7600823529196, -87.74160716098964)"
2007,29,21158,93XX S DR MARTIN LUTHER KING JR DR,T162,GRAVID,08/01/2007 02:08:57 AM,3,negative,CULEX PIPIENS,41.724033837,-87.614345075,"(41.72403383684215, -87.61434507516306)"
2011,32,31993,5XX S CENTRAL AVE,T031,GRAVID,08/12/2011 12:08:00 AM,6,negative,CULEX PIPIENS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2010,38,30684,58XX N RIDGE AVE,T231,GRAVID,09/23/2010 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.987880692,-87.666785075,"(41.98788069188603, -87.66678507548095)"
2012,35,34935,81XX S ASHLAND,T068,GRAVID,08/31/2012 12:08:00 AM,2,negative,CULEX PIPIENS/RESTUANS,,,
2016,29,42949,100XX W OHARE AIRPORT,T906,GRAVID,07/21/2016 12:07:00 AM,12,positive,CULEX RESTUANS,,,
2007,37,23525,89XX S MUSKEGON AVE,T099,GRAVID,09/19/2007 12:09:00 AM,2,negative,CULEX PIPIENS,41.73318788,-87.55562869,"(41.73318787971678, -87.55562868950284)"
2013,24,35669,62XX N MCCLELLAN AVE,T236,GRAVID,06/14/2013 12:06:00 AM,14,negative,CULEX PIPIENS/RESTUANS,41.994966304,-87.77083722,"(41.99496630402897, -87.77083721987879)"
2011,29,31546,100XX W OHARE AIRPORT,T913,GRAVID,07/25/2011 12:07:00 AM,2,negative,CULEX RESTUANS,,,
2014,27,38408,42XX W 65TH ST,T235,GRAVID,07/03/2014 12:07:00 AM,16,negative,CULEX RESTUANS,41.774841115,-87.728005819,"(41.7748411153277, -87.72800581922763)"
2007,32,22152,93XX S DR MARTIN LUTHER KING JR DR,T162,GRAVID,08/15/2007 12:08:00 AM,3,negative,CULEX PIPIENS,41.724033837,-87.614345075,"(41.72403383684215, -87.61434507516306)"
2013,27,35974,41XX N OAK PARK AVE,T002,GRAVID,07/08/2013 12:07:00 AM,11,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2007,35,23017,58XX N WESTERN AVE,T028,CDC,09/04/2007 12:09:00 AM,1,positive,CULEX PIPIENS/RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2013,33,36996,6XX W MONTROSE DR,T017,GRAVID,08/15/2013 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.962014638,-87.646847726,"(41.96201463828783, -87.64684772570871)"
2015,33,41837,41XX N OAK PARK AVE,T002,GRAVID,08/19/2015 12:08:00 AM,33,positive,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2013,30,36498,71XX S SOUTH SHORE DR,T079,GRAVID,07/25/2013 12:07:00 AM,18,positive,CULEX PIPIENS/RESTUANS,41.765752525,-87.562465208,"(41.76575252485466, -87.56246520793836)"
2009,34,27932,100XX W OHARE AIRPORT,T918,GRAVID,08/27/2009 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,,,
2016,29,42937,22XX N CANNON DR,T054B,GRAVID,07/21/2016 12:07:00 AM,14,negative,CULEX RESTUANS,41.9220638,-87.63223306,"(41.92206380002785, -87.63223305992274)"
2016,25,42534,70XX W ARMITAGE AVE,T151,GRAVID,06/22/2016 12:06:00 AM,50,negative,CULEX RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2015,33,41869,131XX S BRANDON AVE,T209,GRAVID,08/20/2015 12:08:00 AM,2,negative,CULEX RESTUANS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2011,25,31060,3XX W 104TH ST,T095,GRAVID,06/24/2011 12:06:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.705327644,-87.632955365,"(41.70532764418326, -87.63295536539816)"
2008,34,25503,89XX S CARPENTER ST,T159,GRAVID,08/26/2008 12:08:00 AM,18,negative,CULEX PIPIENS/RESTUANS,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)"
2011,26,31192,100XX W OHARE AIRPORT,T912,GRAVID,06/30/2011 12:06:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2007,30,21512,35XX W 116TH ST,T158,GRAVID,08/02/2007 12:08:00 AM,49,negative,CULEX PIPIENS/RESTUANS,41.682180403,-87.710091651,"(41.6821804028987, -87.71009165099498)"
2007,34,22959,101XX S STONY ISLAND AVE,T138,CDC,08/28/2007 12:08:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2010,27,28850,13XX N LARAMIE AVE,T230,GRAVID,07/13/2010 12:07:00 AM,16,negative,CULEX RESTUANS,41.904773448,-87.755685753,"(41.904773447835936, -87.75568575289235)"
2012,32,34508,64XX S STONY ISLAND AVE,T077,GRAVID,08/10/2012 12:08:00 AM,1,negative,CULEX RESTUANS,41.778128858,-87.586245035,"(41.778128857884745, -87.58624503516381)"
2016,30,43075,17XX N PULASKI RD,T039,GRAVID,07/27/2016 12:07:00 AM,9,negative,CULEX RESTUANS,41.913567582,-87.726300302,"(41.91356758228873, -87.72630030176042)"
2007,28,20775,35XX W 51ST ST,T062,CDC,07/18/2007 12:07:00 AM,4,negative,CULEX RESTUANS,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)"
2009,20,26180,39XX S ASHLAND AVE,T074,GRAVID,05/28/2009 12:05:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.820858508,-87.665108095,"(41.82085850772701, -87.66510809467968)"
2012,27,33420,77XX S EBERHART AVE,T080,GRAVID,07/09/2012 12:07:00 AM,9,negative,CULEX PIPIENS/RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2007,37,23404,17XX N PULASKI RD,T039,GRAVID,09/18/2007 12:09:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.913567582,-87.726300302,"(41.91356758228873, -87.72630030176042)"
2010,28,29008,11XX S CALIFORNIA AVE,T047,GRAVID,07/16/2010 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.867599254,-87.695785443,"(41.86759925367238, -87.69578544257037)"
2014,34,39634,67XX S KEDZIE AVE,T066,GRAVID,08/21/2014 12:08:00 AM,1,negative,CULEX PIPIENS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2013,28,36211,50XX S UNION AVE,T082,GRAVID,07/12/2013 12:07:00 AM,40,negative,CULEX PIPIENS/RESTUANS,41.802359309,-87.643075919,"(41.802359308973436, -87.64307591923095)"
2016,24,42468,3XX W 18TH ST,T043,GRAVID,06/16/2016 12:06:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.857837294,-87.635861986,"(41.857837293807705, -87.63586198559554)"
2014,25,38182,4XX W 127TH,T135,GRAVID,06/19/2014 12:06:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2015,38,42297,100XX W OHARE AIRPORT,T912,GRAVID,09/23/2015 12:09:00 AM,3,negative,CULEX RESTUANS,,,
2007,36,23223,41XX N OAK PARK AVE,T002,GRAVID,09/12/2007 12:09:00 AM,6,positive,CULEX PIPIENS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2013,29,36261,28XX N FRANCISCO AVE,T147,GRAVID,07/19/2013 12:07:00 AM,4,negative,CULEX RESTUANS,41.93279021,-87.700237884,"(41.93279020985206, -87.7002378838387)"
2007,31,21893,101XX S STONY ISLAND AVE,T138,CDC,08/08/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2008,33,25308,15XX N LONG AVE,T153,GRAVID,08/19/2008 12:08:00 AM,2,negative,CULEX PIPIENS,41.909339959,-87.761078282,"(41.90933995853726, -87.76107828229969)"
2008,25,24271,100XX W OHARE,T903,GRAVID,06/24/2008 12:06:00 AM,1,negative,CULEX RESTUANS,,,
2013,32,36767,37XX E 118TH ST,T212,GRAVID,08/08/2013 12:08:00 AM,4,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2007,32,21953,37XX N KEDVALE AVE,T218,GRAVID,08/15/2007 12:08:00 AM,4,negative,CULEX PIPIENS,41.948500064,-87.730553187,"(41.94850006410376, -87.73055318743594)"
2007,24,20298,105XX S CALIFORNIA AVE,T088,CDC,06/26/2007 04:06:07 AM,1,negative,CULEX PIPIENS,41.701009731,-87.691501699,"(41.701009731121545, -87.69150169935061)"
2007,26,20480,3XX W 18TH ST,T043,GRAVID,07/27/2007 11:07:18 AM,4,negative,CULEX PIPIENS/RESTUANS,41.857837294,-87.635861986,"(41.857837293807705, -87.63586198559554)"
2007,39,23994,101XX S STONY ISLAND AVE,T138,CDC,10/09/2007 12:10:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2014,34,39644,63XX W 64TH ST,T155,GRAVID,08/21/2014 12:08:00 AM,4,negative,CULEX PIPIENS,41.776005392,-87.779407668,"(41.77600539167921, -87.77940766760916)"
2009,27,26933,45XX N CAMPBELL AVE,T220,GRAVID,07/10/2009 12:07:00 AM,3,negative,CULEX RESTUANS,41.964405454,-87.691370391,"(41.96440545399697, -87.69137039109717)"
2010,27,28963,25XX S MILLARD AVE,T152,GRAVID,07/13/2010 12:07:00 AM,2,negative,CULEX PIPIENS,41.845715402,-87.715898597,"(41.845715401799, -87.7158985974353)"
2009,20,26222,45XX N CAMPBELL AVE,T220,GRAVID,05/28/2009 12:05:00 AM,1,negative,CULEX RESTUANS,41.964405454,-87.691370391,"(41.96440545399697, -87.69137039109717)"
2009,28,27195,131XX S BRANDON AVE,T209,GRAVID,07/17/2009 12:07:00 AM,1,negative,CULEX PIPIENS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2015,31,41565,24XX E 105TH ST,T128,GRAVID,08/06/2015 12:08:00 AM,31,negative,CULEX PIPIENS/RESTUANS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2012,31,34338,6XX E 91ST PL,T227,GRAVID,08/03/2012 12:08:00 AM,1,negative,CULEX RESTUANS,41.728490034,-87.608524308,"(41.728490033986375, -87.60852430813071)"
2010,27,28866,67XX S KEDZIE AVE,T066,GRAVID,07/13/2010 12:07:00 AM,3,negative,CULEX RESTUANS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2009,38,28360,100XX W OHARE AIRPORT,T915,GRAVID,09/25/2009 12:09:00 AM,8,negative,CULEX PIPIENS/RESTUANS,,,
2010,36,30367,48XX W MONTANA ST,T222,GRAVID,09/10/2010 12:09:00 AM,2,negative,CULEX PIPIENS,41.925286783,-87.747459124,"(41.92528678345797, -87.74745912379434)"
2010,30,29467,82XX S KOSTNER AVE,T225,GRAVID,07/29/2010 12:07:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)"
2009,26,26873,52XX S KOLMAR AVE,T114,GRAVID,07/06/2009 12:07:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.798210726,-87.736924963,"(41.79821072626856, -87.73692496319906)"
2010,33,29996,4XX E 130TH ST,T221,GRAVID,08/20/2010 12:08:00 AM,3,negative,CULEX PIPIENS,41.659236018,-87.612015128,"(41.65923601846575, -87.61201512813366)"
2011,32,32019,46XX N MILWAUKEE AVE,T003,GRAVID,08/12/2011 12:08:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.965374859,-87.758411715,"(41.96537485879688, -87.75841171521544)"
2011,29,31705,37XX E 118TH ST,T212,GRAVID,07/25/2011 12:07:00 AM,1,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2015,38,42329,62XX N MCCLELLAN AVE,T236,GRAVID,09/23/2015 12:09:00 AM,2,negative,CULEX PIPIENS,41.994966304,-87.77083722,"(41.99496630402897, -87.77083721987879)"
2009,32,27725,25XX W GRAND AVE,T046,GRAVID,08/13/2009 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2012,29,33880,35XX W 116TH ST,T158,GRAVID,07/20/2012 12:07:00 AM,8,positive,CULEX PIPIENS/RESTUANS,41.682180403,-87.710091651,"(41.6821804028987, -87.71009165099498)"
2009,25,26686,5XX S CENTRAL AVE,T031,GRAVID,06/26/2009 12:06:00 AM,1,negative,CULEX RESTUANS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2011,32,32014,17XX N ASHLAND AVE,T232,GRAVID,08/12/2011 12:08:00 AM,1,negative,CULEX RESTUANS,41.913051863,-87.667905236,"(41.913051862687965, -87.66790523595525)"
2011,33,32189,10XX E 67TH ST,T073,GRAVID,08/19/2011 12:08:00 AM,16,negative,CULEX RESTUANS,41.773085401,-87.600167559,"(41.773085401492715, -87.60016755939222)"
2007,35,23071,73XX S CICERO AVE,T067,GRAVID,09/04/2007 12:09:00 AM,7,negative,CULEX PIPIENS,41.760082353,-87.741607161,"(41.7600823529196, -87.74160716098964)"
2009,32,27806,100XX W OHARE AIRPORT,T915,GRAVID,08/13/2009 12:08:00 AM,10,negative,CULEX PIPIENS/RESTUANS,,,
2016,31,43169,91XX W HIGGINS RD,T009,GRAVID,08/04/2016 12:08:00 AM,50,positive,CULEX RESTUANS,41.988586396,-87.854473351,"(41.988586396324166, -87.85447335120561)"
2012,31,34165,70XX N MOSELLE AVE,T008,GRAVID,08/03/2012 12:08:00 AM,1,negative,CULEX PIPIENS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2008,35,25643,41XX N OAK PARK AVE,T002,GRAVID,09/02/2008 12:09:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2008,36,25900,52XX S KOLMAR AVE,T114,GRAVID,09/09/2008 12:09:00 AM,21,negative,CULEX PIPIENS/RESTUANS,41.798210726,-87.736924963,"(41.79821072626856, -87.73692496319906)"
2012,29,33887,127XX S DOTY AVE,T115,GRAVID,07/20/2012 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2014,29,38696,77XX S EBERHART AVE,T080,GRAVID,07/17/2014 12:07:00 AM,9,negative,CULEX PIPIENS/RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2009,29,27251,14XX N HUMBOLDT DR,T033,GRAVID,07/24/2009 12:07:00 AM,7,negative,CULEX PIPIENS/RESTUANS,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2010,31,29550,41XX N OAK PARK AVE,T002,GRAVID,08/05/2010 12:08:00 AM,11,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2010,30,29468,40XX S DEARBORN ST,T081,GRAVID,07/30/2010 12:07:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.820051649,-87.627347571,"(41.820051649277865, -87.62734757080052)"
2007,33,22374,28XX N FRANCISCO AVE,T147,GRAVID,08/21/2007 12:08:00 AM,1,negative,CULEX PIPIENS,41.93279021,-87.700237884,"(41.93279020985206, -87.7002378838387)"
2015,22,40668,1XX N CENTRAL PARK DR,T030,GRAVID,06/04/2015 12:06:00 AM,3,negative,CULEX RESTUANS,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)"
2011,37,32695,9XX W GARFIELD BLVD,T226,GRAVID,09/16/2011 12:09:00 AM,4,negative,CULEX RESTUANS,41.794366478,-87.648925137,"(41.79436647814991, -87.64892513653469)"
2009,24,26594,111XX S ARTESIAN AVE,T160,GRAVID,06/19/2009 12:06:00 AM,3,negative,CULEX RESTUANS,41.690922985,-87.682259674,"(41.690922985124566, -87.68225967398746)"
2014,28,38515,11XX W ROOSEVELT RD,T048,GRAVID,07/10/2014 12:07:00 AM,35,negative,CULEX RESTUANS,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2008,26,24357,119XX S ASHLAND AVE,T090,GRAVID,07/01/2008 12:07:00 AM,3,negative,CULEX RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2010,36,30425,119XX S ASHLAND AVE,T090,GRAVID,09/13/2010 12:09:00 AM,1,negative,CULEX RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2008,28,24545,111XX S ARTESIAN AVE,T160,GRAVID,07/11/2008 12:07:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.690922985,-87.682259674,"(41.690922985124566, -87.68225967398746)"
2013,34,37182,25XX S MILLARD AVE,T152,GRAVID,08/22/2013 12:08:00 AM,15,negative,CULEX PIPIENS/RESTUANS,41.845715402,-87.715898597,"(41.845715401799, -87.7158985974353)"
2013,34,37252,100XX W OHARE AIRPORT,T916,GRAVID,08/22/2013 12:08:00 AM,33,positive,CULEX PIPIENS,,,
2007,32,22027,15XX N LONG AVE,T153,GRAVID,08/15/2007 12:08:00 AM,20,negative,CULEX PIPIENS,41.909339959,-87.761078282,"(41.90933995853726, -87.76107828229969)"
2007,27,20647,105XX S CALIFORNIA AVE,T088,CDC,07/11/2007 03:07:33 AM,5,negative,CULEX PIPIENS/RESTUANS,41.701009731,-87.691501699,"(41.701009731121545, -87.69150169935061)"
2014,30,38850,24XX E 105TH ST,T128,GRAVID,07/24/2014 12:07:00 AM,5,negative,CULEX RESTUANS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2015,36,42126,61XX W FULLERTON AVE,T013,GRAVID,09/10/2015 12:09:00 AM,8,negative,CULEX PIPIENS/RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2012,27,33388,22XX W 51ST ST,T061,GRAVID,07/09/2012 12:07:00 AM,7,negative,CULEX RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
2007,32,22287,101XX S STONY ISLAND AVE,T138,CDC,08/17/2007 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2015,38,42316,37XX E 118TH ST,T212,GRAVID,09/23/2015 12:09:00 AM,2,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2009,20,26175,61XX N LEMONT AVE,T012,GRAVID,05/28/2009 12:05:00 AM,9,negative,CULEX RESTUANS,41.993564362,-87.745420387,"(41.99356436155678, -87.74542038704298)"
2011,38,32785,77XX S EBERHART AVE,T080,GRAVID,09/23/2011 12:09:00 AM,1,negative,CULEX RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2011,36,32571,40XX S DEARBORN ST,T081,GRAVID,09/12/2011 12:09:00 AM,1,negative,CULEX RESTUANS,41.820051649,-87.627347571,"(41.820051649277865, -87.62734757080052)"
2009,30,27557,100XX W OHARE AIRPORT,T908,CDC,07/31/2009 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,,,
2008,27,24458,10XX E 67TH ST,T073,GRAVID,07/04/2008 12:07:00 AM,2,negative,CULEX RESTUANS,41.773085401,-87.600167559,"(41.773085401492715, -87.60016755939222)"
2009,23,26457,70XX N MOSELLE AVE,T008,GRAVID,06/12/2009 12:06:00 AM,8,negative,CULEX RESTUANS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2009,26,26826,58XX N WESTERN AVE,T028,GRAVID,07/06/2009 12:07:00 AM,14,negative,CULEX PIPIENS/RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2010,31,29630,127XX S DOTY AVE,T115,GRAVID,08/05/2010 12:08:00 AM,18,negative,CULEX PIPIENS/RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2016,31,43233,22XX W 51ST ST,T061,GRAVID,08/04/2016 12:08:00 AM,50,positive,CULEX PIPIENS/RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
